search;case;n;T(n)
LS;W;10000;0.00011
LS;W;11000;0.0001198
LS;W;12000;7.73e-05
LS;W;13000;7.74e-05
LS;W;14000;0.0001509
LS;W;15000;0.0001456
LS;W;16000;0.0001568
LS;W;17000;0.0001007
LS;W;18000;0.0001799
LS;W;19000;0.0001282
LS;W;20000;0.0002017
LS;W;21000;0.0001994
LS;W;22000;0.0001312
LS;W;23000;0.0001491
LS;W;24000;0.0001456
LS;W;25000;0.0001785
LS;W;26000;0.0001543
LS;W;27000;0.0001953
LS;W;28000;0.0001677
LS;W;29000;0.0001721
LS;W;30000;0.0001836
LS;W;31000;0.000191
LS;W;32000;0.0001982
LS;W;33000;0.0002017
LS;W;34000;0.000227
LS;W;35000;0.0002116
LS;W;36000;0.0002212
LS;W;37000;0.0002558
LS;W;38000;0.0002464
LS;W;39000;0.0002382
LS;W;40000;0.0002376
LS;W;41000;0.0002438
LS;W;42000;0.0002546
LS;W;43000;0.000267
LS;W;44000;0.000293
LS;W;45000;0.0002763
LS;W;46000;0.0002517
LS;W;47000;0.0002937
LS;W;48000;0.000355
LS;W;49000;0.0004629
LS;W;50000;0.0002985
LS;W;51000;0.0003023
LS;W;52000;0.0003173
LS;W;53000;0.0003262
LS;W;54000;0.0003855
LS;W;55000;0.000335
LS;W;56000;0.0003415
LS;W;57000;0.0003538
LS;W;58000;0.0003575
LS;W;59000;0.0003636
LS;W;60000;0.0003706
LS;W;61000;0.0003652
LS;W;62000;0.000891
LS;W;63000;0.0004181
LS;W;64000;0.0006817
LS;W;65000;0.0005995
LS;W;66000;0.0004072
LS;W;67000;0.0004133
LS;W;68000;0.0004126
LS;W;69000;0.0004084
LS;W;70000;0.0004686
LS;W;71000;0.0004025
LS;W;72000;0.0004407
LS;W;73000;0.00044
LS;W;74000;0.0004361
LS;W;75000;0.0004613
LS;W;76000;0.0004531
LS;W;77000;0.0004709
LS;W;78000;0.0004926
LS;W;79000;0.0004836
LS;W;80000;0.000497
LS;W;81000;0.0004806
LS;W;82000;0.0005054
LS;W;83000;0.0005172
LS;W;84000;0.0005133
LS;W;85000;0.0005222
LS;W;86000;0.0005311
LS;W;87000;0.0005424
LS;W;88000;0.0005377
LS;W;89000;0.0008226
LS;W;90000;0.0005469
LS;W;91000;0.0006055
LS;W;92000;0.0005711
LS;W;93000;0.0005844
LS;W;94000;0.0005645
LS;W;95000;0.0005886
LS;W;96000;0.0012206
LS;W;97000;0.0005919
LS;W;98000;0.0008886
LS;W;99000;0.0009779
LS;F;10000;4e-07
LS;F;11000;7e-07
LS;F;12000;4e-07
LS;F;13000;4e-07
LS;F;14000;4e-07
LS;F;15000;4e-07
LS;F;16000;4e-07
LS;F;17000;7e-07
LS;F;18000;5e-07
LS;F;19000;6e-07
LS;F;20000;4e-07
LS;F;21000;6e-07
LS;F;22000;5e-07
LS;F;23000;5e-07
LS;F;24000;6e-07
LS;F;25000;7e-07
LS;F;26000;6e-07
LS;F;27000;5e-07
LS;F;28000;5e-07
LS;F;29000;4e-07
LS;F;30000;7e-07
LS;F;31000;5e-07
LS;F;32000;5e-07
LS;F;33000;8e-07
LS;F;34000;4e-07
LS;F;35000;5e-07
LS;F;36000;5e-07
LS;F;37000;7e-07
LS;F;38000;5e-07
LS;F;39000;6e-07
LS;F;40000;4e-07
LS;F;41000;6e-07
LS;F;42000;5e-07
LS;F;43000;6e-07
LS;F;44000;6e-07
LS;F;45000;6e-07
LS;F;46000;7e-07
LS;F;47000;6e-07
LS;F;48000;1e-06
LS;F;49000;5e-07
LS;F;50000;7e-07
LS;F;51000;5e-07
LS;F;52000;5e-07
LS;F;53000;7e-07
LS;F;54000;8e-07
LS;F;55000;8e-07
LS;F;56000;9e-07
LS;F;57000;6e-07
LS;F;58000;6e-07
LS;F;59000;6e-07
LS;F;60000;4e-07
LS;F;61000;5e-07
LS;F;62000;4e-07
LS;F;63000;6e-07
LS;F;64000;7e-07
LS;F;65000;8e-07
LS;F;66000;6e-07
LS;F;67000;6e-07
LS;F;68000;6e-07
LS;F;69000;5e-07
LS;F;70000;8e-07
LS;F;71000;6e-07
LS;F;72000;6e-07
LS;F;73000;6e-07
LS;F;74000;7e-07
LS;F;75000;5e-07
LS;F;76000;7e-07
LS;F;77000;6e-07
LS;F;78000;7e-07
LS;F;79000;5e-07
LS;F;80000;8e-07
LS;F;81000;6e-07
LS;F;82000;8e-07
LS;F;83000;9e-07
LS;F;84000;6e-07
LS;F;85000;6e-07
LS;F;86000;6e-07
LS;F;87000;5e-07
LS;F;88000;7e-07
LS;F;89000;7e-07
LS;F;90000;7e-07
LS;F;91000;8e-07
LS;F;92000;6e-07
LS;F;93000;5e-07
LS;F;94000;8e-07
LS;F;95000;6e-07
LS;F;96000;5e-07
LS;F;97000;6e-07
LS;F;98000;8e-07
LS;F;99000;5e-07
LS;M;10000;3e-05
LS;M;11000;3.29e-05
LS;M;12000;3.55e-05
LS;M;13000;4.04e-05
LS;M;14000;4.34e-05
LS;M;15000;4.5e-05
LS;M;16000;4.81e-05
LS;M;17000;5.24e-05
LS;M;18000;4.92e-05
LS;M;19000;5.66e-05
LS;M;20000;6.31e-05
LS;M;21000;6.75e-05
LS;M;22000;6.67e-05
LS;M;23000;7.07e-05
LS;M;24000;7.22e-05
LS;M;25000;7.64e-05
LS;M;26000;7.93e-05
LS;M;27000;8.44e-05
LS;M;28000;8.72e-05
LS;M;29000;8.61e-05
LS;M;30000;8.91e-05
LS;M;31000;9.2e-05
LS;M;32000;9.53e-05
LS;M;33000;0.0001016
LS;M;34000;0.0001031
LS;M;35000;0.0001046
LS;M;36000;0.0001113
LS;M;37000;0.0001855
LS;M;38000;0.0002303
LS;M;39000;0.0001197
LS;M;40000;0.0002003
LS;M;41000;0.0001225
LS;M;42000;0.0001252
LS;M;43000;0.0002028
LS;M;44000;0.0001345
LS;M;45000;0.0001374
LS;M;46000;0.00014
LS;M;47000;0.0001405
LS;M;48000;0.0001439
LS;M;49000;0.0001502
LS;M;50000;0.0001498
LS;M;51000;0.0001569
LS;M;52000;0.0002554
LS;M;53000;0.0001623
LS;M;54000;0.0001605
LS;M;55000;0.0001674
LS;M;56000;0.0001669
LS;M;57000;0.0001755
LS;M;58000;0.0001734
LS;M;59000;0.0002877
LS;M;60000;0.0001882
LS;M;61000;0.0002103
LS;M;62000;0.0003749
LS;M;63000;0.0001878
LS;M;64000;0.0001938
LS;M;65000;0.0002857
LS;M;66000;0.000203
LS;M;67000;0.0002278
LS;M;68000;0.0002022
LS;M;69000;0.0002151
LS;M;70000;0.0002073
LS;M;71000;0.0002224
LS;M;72000;0.0002198
LS;M;73000;0.0002224
LS;M;74000;0.0002219
LS;M;75000;0.0002321
LS;M;76000;0.0002222
LS;M;77000;0.000244
LS;M;78000;0.0002428
LS;M;79000;0.0002453
LS;M;80000;0.0002544
LS;M;81000;0.0002413
LS;M;82000;0.0002439
LS;M;83000;0.0002471
LS;M;84000;0.000257
LS;M;85000;0.0002652
LS;M;86000;0.0002564
LS;M;87000;0.0002686
LS;M;88000;0.0005317
LS;M;89000;0.0002747
LS;M;90000;0.0002763
LS;M;91000;0.0002726
LS;M;92000;0.000275
LS;M;93000;0.0002855
LS;M;94000;0.0002871
LS;M;95000;0.0003301
LS;M;96000;0.0002913
LS;M;97000;0.0002982
LS;M;98000;0.0003548
LS;M;99000;0.0002968
LS;L;10000;5.7e-05
LS;L;11000;6.85e-05
LS;L;12000;7.14e-05
LS;L;13000;8e-05
LS;L;14000;8.57e-05
LS;L;15000;8.9e-05
LS;L;16000;9.48e-05
LS;L;17000;0.0001044
LS;L;18000;0.0002883
LS;L;19000;0.0001129
LS;L;20000;0.0001331
LS;L;21000;0.0001276
LS;L;22000;0.0001359
LS;L;23000;0.0001405
LS;L;24000;0.0001475
LS;L;25000;0.0002557
LS;L;26000;0.0002612
LS;L;27000;0.0002364
LS;L;28000;0.0001723
LS;L;29000;0.0001727
LS;L;30000;0.0001778
LS;L;31000;0.0001851
LS;L;32000;0.0001907
LS;L;33000;0.0002017
LS;L;34000;0.0002098
LS;L;35000;0.0002173
LS;L;36000;0.0002533
LS;L;37000;0.000226
LS;L;38000;0.0003609
LS;L;39000;0.0002311
LS;L;40000;0.0002381
LS;L;41000;0.0002459
LS;L;42000;0.0002392
LS;L;43000;0.0002562
LS;L;44000;0.0003218
LS;L;45000;0.000266
LS;L;46000;0.0004035
LS;L;47000;0.0002782
LS;L;48000;0.0002913
LS;L;49000;0.0002909
LS;L;50000;0.0003029
LS;L;51000;0.0003039
LS;L;52000;0.0003207
LS;L;53000;0.0003143
LS;L;54000;0.0004109
LS;L;55000;0.0003269
LS;L;56000;0.000342
LS;L;57000;0.0005568
LS;L;58000;0.0003578
LS;L;59000;0.0003532
LS;L;60000;0.0003561
LS;L;61000;0.0003883
LS;L;62000;0.0003785
LS;L;63000;0.000389
LS;L;64000;0.0004098
LS;L;65000;0.0004148
LS;L;66000;0.0004073
LS;L;67000;0.0003971
LS;L;68000;0.0004028
